Date	Price	Open	High	Low	Vol.	Change %
08/05/2022	102,37	101,89	102,44	101,71	22.02K	0,61%
08/04/2022	101,75	101,67	101,94	101,18	17.23K	0,20%
08/03/2022	101,55	101,6	101,94	101	20.38K	-0,40%
08/02/2022	101,96	99,12	102,62	99,12	36.38K	3,61%
08/01/2022	98,41	101	102,99	98,02	51.21K	-2,94%
07/29/2022	101,39	100,86	101,5	100,4	18.78K	0,50%
07/28/2022	100,89	100,56	100,95	100,5	16.41K	0,33%
07/27/2022	100,56	100,35	100,86	100,07	16.63K	0,21%
07/26/2022	100,35	100,79	100,97	100,15	25.64K	-0,45%
07/25/2022	100,8	100,3	100,8	100,28	21.06K	0,52%
07/22/2022	100,28	100,32	100,5	99,99	20.21K	0,27%
07/21/2022	100,01	100,21	100,85	100,01	20.40K	-0,20%
07/20/2022	100,21	99,98	101,01	99,8	29.39K	0,22%
07/19/2022	99,99	100,12	100,67	99,51	28.86K	-0,02%
07/18/2022	100,01	100,73	100,89	99,9	23.74K	-0,71%
07/15/2022	100,73	100,98	101	100,52	20.99K	-0,25%
07/14/2022	100,98	100,5	101	100,28	28.63K	0,48%
07/13/2022	100,5	99,97	100,77	99,9	27.01K	0,53%
07/12/2022	99,97	100,8	100,81	99,91	18.74K	-0,53%
07/11/2022	100,5	100,67	100,99	100,5	17.49K	-0,17%
07/08/2022	100,67	99,96	100,98	99,79	19.41K	0,77%
07/07/2022	99,9	99,39	100,07	99,32	17.87K	0,51%
07/06/2022	99,39	99,89	99,95	99,25	18.79K	-0,11%
07/05/2022	99,5	99,7	100,3	99,1	18.21K	-0,16%
07/04/2022	99,66	100,19	100,57	99,02	27.24K	-0,53%
07/01/2022	100,19	100,3	100,98	99,85	22.55K	-0,80%
06/30/2022	101	101,38	101,49	101	24.36K	-0,05%
06/29/2022	101,05	100,57	101,18	100,57	19.50K	0,49%
06/28/2022	100,56	101,3	101,76	100,2	21.00K	-0,44%
06/27/2022	101	101,96	101,97	101	31.57K	-0,95%
06/24/2022	101,97	101,93	101,98	101,59	15.14K	0,04%
06/23/2022	101,93	101,71	101,94	101,33	17.58K	0,22%
06/22/2022	101,71	101,68	102	101,15	17.64K	0,03%
06/21/2022	101,68	101,5	101,97	101,45	19.20K	0,18%
06/20/2022	101,5	101,1	101,97	100,95	21.33K	0,40%
06/17/2022	101,1	101,29	101,29	100,5	20.64K	-0,20%
06/15/2022	101,3	101,79	102,49	100,8	20.95K	-0,48%
06/14/2022	101,79	100,5	102,32	100,43	23.58K	1,28%
06/13/2022	100,5	101,1	101,1	100,27	24.50K	-0,59%
06/10/2022	101,1	102,09	102,32	101,1	15.17K	-0,96%
